t H P
0 602 241
1 630 247
2 654 239
3 681 240
4 734 237
5 770 211
6 787 207
7 804 211
8 832 211
9 869 193
10 874 185
11 894 172
12 894 166
13 909 164
14 930 152
15 944 120
16 939 102
17 922 103
18 926 80
19 908 75
20 888 59
21 858 57
22 833 47
23 812 41
24 793 37
25 775 36
26 750 34
27 724 33
28 700 38
29 678 45
30 653 48
31 637 40
32 617 48
33 600 50
34 578 52
35 565 61
36 548 66
37 545 67
38 530 75
39 519 72
40 514 74
41 506 74
42 504 66
43 496 69
44 486 71
45 473 73
46 447 74
47 440 84
48 426 100
49 419 103
50 409 116
51 412 126
52 408 141
53 414 142
54 411 160
55 420 170
56 426 176
57 436 187
58 442 203
59 468 190
60 470 199
61 494 209
62 505 227
63 522 249
64 541 276
65 584 288
66 628 270
67 669 257
68 711 241
69 764 224
70 796 185
71 811 173
72 817 170
73 825 154
74 833 145
75 836 135
76 835 122
77 839 114
78 850 105
79 843 91
80 828 79
81 805 80
82 798 61
83 775 61
84 754 55
85 742 44
86 713 38
87 688 33
88 651 31
89 640 38
90 613 33
91 601 26
92 571 23
93 553 19
94 529 24
95 516 27
96 504 32
97 484 44
98 466 50
99 457 48
100 441 45
101 440 46
102 428 58
103 423 53
104 418 54
105 407 60
106 401 68
107 393 79
108 388 91
109 384 93
110 372 101
111 361 118
112 360 139
113 356 156
114 359 175
115 370 201
116 398 224
117 422 253
118 437 266
119 461 309
120 502 349
