t H P
0 602 241
1 636 239
2 653 257
3 666 280
4 710 277
5 745 250
6 786 244
7 822 234
8 853 213
9 873 170
10 893 147
11 887 136
12 878 111
13 875 85
14 852 86
15 823 78
16 809 72
17 792 70
18 771 68
19 746 51
20 728 40
21 691 54
22 674 51
23 653 49
24 639 47
25 616 54
26 602 46
27 591 41
28 567 44
29 554 41
30 536 47
31 524 50
32 496 48
33 477 49
34 469 47
35 446 55
36 435 60
37 429 56
38 417 63
39 405 66
40 397 72
41 391 83
42 387 93
43 376 97
44 374 112
45 365 130
46 370 135
47 375 148
48 382 157
49 384 176
50 393 179
51 398 188
52 407 210
53 424 216
54 446 231
55 475 239
56 488 277
57 524 299
58 565 306
59 593 310
60 622 314
61 672 327
62 708 317
63 748 331
64 817 317
65 896 280
66 946 247
67 983 205
68 1009 181
69 1033 127
70 1027 111
71 1024 91
72 1002 71
73 963 57
74 936 47
75 904 42
76 865 40
77 829 36
78 797 35
79 768 27
80 743 22
81 719 23
82 687 27
83 646 27
84 629 23
85 598 24
86 573 25
87 550 25
88 527 26
89 516 27
90 493 35
91 468 39
92 452 44
93 429 45
94 415 48
95 401 63
96 391 74
97 384 92
98 383 103
99 378 124
100 373 140
101 382 144
102 394 162
103 397 173
104 403 200
105 427 193
106 438 211
107 459 225
108 484 230
109 506 243
110 517 249
111 543 252
112 580 248
113 612 247
114 632 268
115 664 277
116 695 271
117 747 238
118 785 234
119 831 212
120 881 177
